,text,author,created_at,bio,generator,location,hashtags
0,"@Wenniseriiostha “I’m not offended, and I’m descended from a Cherokee princess.”  - any random blonde person from the U.S.",ChristineLBoyer,2020-01-31 21:21:01,Never not chasing that elusive high you got at Scholastic Book Fairs.  Scorpio. Writer. 🏳️‍🌈,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
1,"@MikeWiseguy Funny, I’m Cherokee and I’m not offended. Next time I’m thanking the Gods from my tepee, I’ll include a gift of thanks for white liberal men who are here to make sure I know when to be offended. Thank you for your virtue signaling on my behalf. https://t.co/68kbmTFAdm",okthunderkgirl,2020-01-20 14:45:14,“You can’t always sit on the fence while the world passes you by-sometimes you just gotta ride!”. Chris LeDoux,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
2,"@MikeWiseguy @tjomac I’m Cherokee and I’m not offended. In fact, in a huge fan... and yes; I am in fact a registered citizen of the Cherokee Nation.",osu_shepherd,2020-01-20 03:57:51,"Somewhere rewriting my last rewrite. #Christian #conservative, #Bowhunter, #2A, #NRAMember, #outdoorsman, #OKStateAlum #avgeek #poet #writing","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
3,@InstigatorRules @DonaldJTrumpJr @ewarren She claimed she was Cherokee Indian and got grants for it and come to find out she lied   Nothing racist there. I’m 3/4 Cherokee Indian. My dad 100%. Nope not offended.,deploableme71,2020-01-14 14:38:30,proud Republican support my President Trump Proud to be living in USA,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
4,"@BoundlessSouls @cher @ewarren Well I’m actually Cherokee Indian and totally not offended by her mix up, when you own up to your mistakes that takes a real person cause she is real! Have you met her????",hottiemarkie33,2020-01-13 02:43:32,#OYOhotelcasino (Cashier)#Singer🎤 #Songwriter🎼 #ImAnArtist👨‍🎤#chercrew #VEGASSTRONGER Book Me: ⬇️,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
5,"@cherokee_dirlam @creezee @BrianDarris @SenSanders It's interesting and not offended at all but it's irrelevant. I'm talking about social democracies that are not mutually exclusive to capitalism. I think you don't have a good understanding of the terms. Also, you didn't address my points at all.",NothingForUs2,2020-01-08 23:25:31,"More facts, less crazy","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
6,@glittercheeks98 @SirAustinOfDunn @taicurtis Oh but no one here said any of that. He called her Pocahontas- he never said all native Americans were. I’m part Cherokee and I’m not offended by that.,_k_a_s_t_,2020-01-05 00:26:05,,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
7,@cory_c_22 I'm Cherokee and definitely not offended.,bfsooner,2019-11-21 23:22:30,I love OU Football.  I read really good books! I also BookTube! OU Class of '01. Android user. #LivePD Superfan Obeys #SoonerFollowTrain rules.,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
8,"@MShiningElk @MagicLady3 @har38 *part* Native American, he has Cherokee blood in him. Also the dancers in the Sauvage ad were just fine, they were not offended and he respects them.",luvjohnny4ever,2019-11-08 02:49:48,Empath❄️Domestic Violence Survivor✨Lgbtq❄️Domestic Violence✨Mental Health Advocate❄️Tweets&Opinions Expressed Are My Own✨#IBelieveHim❄️Queer Depp Donut🍩🏳️‍🌈,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
9,@pamfoundation I personally do not think anything is wrong with her costume/ photoshoot. People in this day and age look for anything to be politically incorrect and want to pull the race card or put their two cents in. I have Cherokee on my mother's side and I'm not offended. It's a great pic.,ElsenMelissa,2019-11-05 10:44:42,,"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
10,"@pamfoundation You look great, Pamela.  As 1/8th Cherokee, I am not offended and appreciate your take on Halloween.  Thanks for sharing your beauty.",gsmjrhlmf,2019-11-04 20:34:38,Retired disabled veteran.,"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
11,"@Robbin_Young @pamfoundation Me too. It's so sad that this is where they want to make a stand. A costume.🧐 Pam, I am half Cherokee and I am not offended in the least. Nice picture.",rogue2053,2019-11-04 17:57:28,"Freedom, Liberty, Justice! Don't Tread On Me! If my opinions offend you feel free to not follow me. Trump 2Q2Q *NO LIST*","{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
12,"@HamptonConnorTM @torianoporter @Chiefs @blackhorse_a I'm Eastern Band Cherokee and I'm not offended. I take part in it. The "" find one person that's offended"" tactic is bullshit. That's what people do when they're on the losing side of an issue.",Squish78,2019-11-02 23:34:21,"TAR HEEL BORN, TAR HEEL BRED. MBA. ∆X. Hater of hypocrisy. #ChiefsKingdom","{'link': 'http://twitter.com/#!/download/ipad', 'name': 'Twitter for iPad'}",,[]
13,@KCStar Saying “I’m 1/16th Cherokee and I’m not offended by it because I love the chiefs more than my own children!!!!!” Doesn’t prove anything. Try google. Native people are hurt and stigmatized by this shit. Literally read a book. The chop is basically a slur. Screw you.,erinlhoney,2019-11-01 21:43:44,"animal mom, advocate, concerned citizen, feminist 👻🌈🔮🖤","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
14,@KaitMarieox My great grandmother was full blooded Cherokee and I’m not offended. IT IS HALLOWEEN PEOPLE GET OVER IT!!!!!,RogerSt26554585,2019-11-01 06:05:15,,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
15,"@melting_meadows It's cool. They have 1/10,000 Cherokee in them and they are not offended.",webology,2019-10-28 11:27:42,"Python, Django, Docker, Engineer, Partner at @revsys - Affiliations @ThePSF @defnado @djangocon @djangoproject - Interests 🏀 ✨ 💪 🏃‍♂️ 🤖 (he/him)","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
16,"@JohnnysBarbeque @prayingmedic Hated to see the @Braves not defend us fans in their statement.  Surprised Braves didn’t mention their long relationship with Harrahs Cherokee.

I’m from N Ga and 1/8 Cherokee myself.  I’m not offended though, so in 2019 my opinion doesn’t count.  Ugh.",TorresMinoso,2019-10-17 13:44:33,Learned US Media was corrupt decades ago.  The proof is everywhere now.    #PATRIOT #IFB,"{'link': 'http://twitter.com/#!/download/ipad', 'name': 'Twitter for iPad'}",,[]
17,@AAnthopoulos @Braves Helsley strikes me as the kinda guy not offended by alot much less a piece of foam. So we lose the game in horrible fashion and they take away a tradition that has nothing to do with mocking natives. My great Gmaw was full blood Cherokee she’d  tell helsley to stop being a B****,SethCha85478563,2019-10-12 19:29:11,,"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
18,"@_RHelsley you are not offended by your own words?  You don’t represent my Cherokee heritage and the fact you think you can speak for me is 100% offensive. Just focus on being a lot less ignorant and throwing that baseball.  K bud? 👍🏻 https://t.co/dNs6KxG54C
@markasaxon But this is ok? https://t.co/nRNO38EUB4",rcspur,2019-10-12 14:40:02,"The one and only... love my family, Gamecocks, cooking, and my life. Hunter, Fisherman and Sports Nut. GO COCKS!!!","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
19,"@ribbonshirtlove You know, because otherwise they wouldn't be the ones at the school board meeting saying ""I'm 1/7th Cherokee and I'm not offended...""",michaelsegroves,2019-10-11 20:12:40,Architect / Planner / Raconteur Extraordinaire - Tweets reflect my thoughts and mine alone.,"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
20,"@MCunninghamAJC @AAnthopoulos @Braves I am a member of the Cherokee nation and I am not offended at all , so let’s #ChopOn",Truest_Park,2019-10-11 01:37:44,Call me TP for short *parody*,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,['ChopOn']
21,"@AAnthopoulos @Braves I am a member of the Cherokee nation and I am not offended at all , so let’s #ChopOn",Truest_Park,2019-10-11 01:37:03,Call me TP for short *parody*,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,['ChopOn']
22,@_RHelsley Braves name symbolizes BRAVERY of Native Americans.  I know someone who’s part Cherokee and she’s not offended at all.  I'm VERY offended that you're offended by our unique cheer.  You are obviously an easily triggered snowflake who needs to grow up!!!,jerkotyuk,2019-10-10 19:00:50,"Christian, Patriot, Conservative, Dog Lover, Baseball Nut","{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
23,"I have Cherokee heritage and I’m not offended at all. The only time your opinion matters is when you’re offended? Our society is screwed. #NLDS #Braves #tomahawkchop https://t.co/COlvJrAlPW
No foam tomahawks in seats here for game 5 of #NLDS at SunTrust Park. 

@Braves are reportedly reconsidering in-game ‘chop’ activities after @Cardinals Ryan Helsley’s comments that the chant was a “disappointment”and “disrespectful” to his Cherokee heritage. https://t.co/B9UFx5h2vX",fredwimpy,2019-10-10 11:24:07,"Control spending, not people! Fiscal conservative! Don't tread on me. Thanks to all our brave young men and women for providing the Freedom we enjoy!","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
24,"I hope everybody noticed white brave fans coming out with “my great grandma was a cherokee princess and im not offended” stuff because,",pigeonize,2019-10-10 10:29:04,"not the best choice of tweets // gay autistic bastard // illustrator, designer // baseball nutjob // red sox, phillies // I used to like music","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
25,@JohnKincade Forget this nonsense. I’m 1/8 Cherokee and I’m not offended. Does that go into effect??? Why does my voice not matter ? So dumb.,MichaelWalters4,2019-10-10 02:56:15,,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
26,"⛏⛏⛏⛏⛏I know they aren’t Tomahawks BUT in my mind they are SO they are Tomahawks. I have Cherokee Blood in me, Yet I’m not offended by this OR when @Janefonda and @TedTurnerIII was doing it YEARS ago. 🤔@Richzeoli @JohnBWellsCTM @MsAvaArmstrong @ScottPresler @michellemalkin https://t.co/N5xU2Pfskc
Official word from the @Braves. No Tomahawks being given away at tonight’s game. Also no music/graphics related to the chop “when Mr. Helsley is in the game.” STL Cardinals pitcher Ryan Helsley who is Cherokee recently called the chop disrespectful. #11Alive https://t.co/DxS1507Mpt",GideonHenry,2019-10-10 02:40:24,We must protect our childrens freedom while there is time. The clock is ticking. ⌛️Blocked by @cherijacobus #ZeoliArmy TruthWillSetUFree👁,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
27,"@ZachKleinWSB As someone who really does have Cherokee heritage, no way he was disrespected! Lies. And Braves fell for it. Someone makes up a lie and calls it their opinion and cries for it to stop cause their feelings are hurt. Native people are proud. Not offended,unless forgotten.",Todd86232949,2019-10-09 23:32:26,,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
28,"@JohnFricke I have a Cherokee heritage and I’m not offended. Also, don’t the Kansas City Chiefs do the Tomahawk Chop too?",ShayDawwg3,2019-10-09 22:58:43,@Nhdawwg777 ❤️ Georgia Girl. Realtor. #GoDawgs #Falcons #Braves #Hawks Psalms 46:5. Animal Lover and Shoe Whore!,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
29,@Braves If yall had just left the tomahawk chip alone maybe yall would be down like this. Smh. Btw I'm also part Cherokee and Creek Indian and I'm by far not offended at all.,Wwhitehead88,2019-10-09 22:27:03,3 time NR2003 cup Champion.  4 time Busch Series Champion.,"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
30,"What about me?  I'm Native and a member of the Cherokee Nation, and I am NOT offended by it.  I asked my elders about it the other day and they said the same thing.  Who is Ryan Helsley that he can speak for all Natives?  #cmonman https://t.co/U3MBmdJEPd
Well, frankly that'd be pretty lame and a bit reprehensible. Think about it. I'm pretty sure most Braves fans in attendance are above blasting a Native American with the tomahawk chop after he's said it makes him uncomfortable. At least I'd sure hope they would be. https://t.co/pIrGvamJub",DavisWillieB,2019-10-09 22:00:23,"Epic, not basic. Young professional. Cherokee. Sports, all kinds of concerts, EDM. I ride a Harley. I need a girl who loves baseball. Tweets are my own.","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
31,@Braves What is wrong with you. I’ve got Cherokee in me and I’m not offended. You take the tomahawks away. I almost wish we would lose. Wimps,rod34575207,2019-10-09 21:19:11,,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
32,Y’all really out here like — “I actually have 0.012% Cherokee Heritage on my great uncles’ ex’s wife’s side and I’m not offended by *insert something extremely offensive*,gnnieaower,2019-10-09 20:51:03,she/her || 27 || queer || tired ||,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
33,"@putemupcdukes I have Cherokee blood, and I'm not offended at #ChopOn or whatever else.",TheBensmith03,2019-10-09 20:05:56,"Husband, Father,avid outdoorsman, Atlanta Falcons, Braves, UGA GA SOUTHERN FAN","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,['ChopOn']
34,@dgoold I identify as a Cherokee and I’m. Not offended.,Anthony4871,2019-10-06 01:18:19,"Conservative, follower of Jesus. Go Cards, Blues and Mizzou!! Freedom is not free.","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
35,"@dgoold oh goodness; this might be more interesting if he played  for the Indians or Braves.  I wonder how he would feel then.  I'm 1/8th Cherokee, and I am not offended by his view or the chomp.  While I don't agree with him, I commend him for taking a stand.",OldManMuscles,2019-10-05 13:22:51,"I'm the here to motivate, love, & live until I'm called to glory.","{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
36,@chanmbrown @Calabio32 @Buster_ESPN @stltoday I have Cherokee blood too and I'm not offended.,adam_kreiser,2019-10-05 11:59:29,"Father, Anti-Socialist, Independent voter and thinker. No allegiance to any party. Call it like I see it no matter what side of the aisle your own.","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
